official_lang,translation_lang,original_file,original_commit,translation_file,translation_exists,translation_commit,translation_is_outdated
en,ko,docs/source/en/preprocessing.md,2024-09-09 10:47:24+02:00,docs/source/ko/preprocessing.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/sagemaker.md,2024-09-09 10:47:24+02:00,docs/source/ko/sagemaker.md,True,2023-11-06 19:45:03+00:00,True
en,ko,docs/source/en/model_sharing.md,2024-09-09 10:47:24+02:00,docs/source/ko/model_sharing.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/perf_infer_gpu_one.md,2024-09-25 21:28:49+02:00,docs/source/ko/perf_infer_gpu_one.md,True,2024-05-30 16:47:35+02:00,True
en,ko,docs/source/en/perf_train_cpu_many.md,2024-08-14 09:36:43-07:00,docs/source/ko/perf_train_cpu_many.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/pad_truncation.md,2024-09-09 10:47:24+02:00,docs/source/ko/pad_truncation.md,True,2024-02-06 11:15:44-08:00,True
en,ko,docs/source/en/kv_cache.md,2024-09-19 12:02:46+01:00,docs/source/ko/kv_cache.md,False,,False
en,ko,docs/source/en/accelerate.md,2024-09-09 10:47:24+02:00,docs/source/ko/accelerate.md,True,2023-06-20 18:07:47-04:00,True
en,ko,docs/source/en/community.md,2024-09-09 10:47:24+02:00,docs/source/ko/community.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/troubleshooting.md,2024-02-16 08:16:58+01:00,docs/source/ko/troubleshooting.md,True,2024-02-16 08:16:58+01:00,False
en,ko,docs/source/en/serialization.md,2024-09-09 10:47:24+02:00,docs/source/ko/serialization.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/training.md,2024-05-14 18:45:06+01:00,docs/source/ko/training.md,True,2024-04-18 12:49:43-04:00,True
en,ko,docs/source/en/conversations.md,2024-07-23 17:47:51+01:00,docs/source/ko/conversations.md,True,2024-08-27 09:25:41-07:00,False
en,ko,docs/source/en/tasks_explained.md,2024-09-09 10:47:24+02:00,docs/source/ko/tasks_explained.md,True,2023-06-20 18:07:47-04:00,True
en,ko,docs/source/en/benchmarks.md,2024-09-09 10:47:24+02:00,docs/source/ko/benchmarks.md,False,,False
en,ko,docs/source/en/generation_strategies.md,2024-09-09 10:47:24+02:00,docs/source/ko/generation_strategies.md,True,2024-05-16 14:32:21+01:00,True
en,ko,docs/source/en/glossary.md,2024-07-08 11:52:47+01:00,docs/source/ko/glossary.md,False,,False
en,ko,docs/source/en/tf_xla.md,2024-07-29 10:50:43+01:00,docs/source/ko/tf_xla.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/llm_optims.md,2024-09-06 10:22:00+01:00,docs/source/ko/llm_optims.md,True,2024-08-30 09:52:41-07:00,True
en,ko,docs/source/en/llm_tutorial.md,2024-08-22 15:30:22+02:00,docs/source/ko/llm_tutorial.md,True,2023-11-20 17:14:23+00:00,True
en,ko,docs/source/en/torchscript.md,2024-09-09 10:47:24+02:00,docs/source/ko/torchscript.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/perf_train_tpu_tf.md,2024-09-09 10:47:24+02:00,docs/source/ko/perf_train_tpu_tf.md,True,2023-08-18 23:08:34+02:00,True
en,ko,docs/source/en/quicktour.md,2024-06-12 11:33:00+01:00,docs/source/ko/quicktour.md,True,2024-06-12 11:33:00+01:00,False
en,ko,docs/source/en/trainer.md,2024-09-09 10:47:24+02:00,docs/source/ko/trainer.md,True,2024-08-08 09:38:58-07:00,True
en,ko,docs/source/en/run_scripts.md,2024-09-12 10:16:12-07:00,docs/source/ko/run_scripts.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/custom_models.md,2024-08-26 13:15:43+02:00,docs/source/ko/custom_models.md,True,2024-08-26 13:15:43+02:00,False
en,ko,docs/source/en/autoclass_tutorial.md,2024-09-09 10:47:24+02:00,docs/source/ko/autoclass_tutorial.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/perf_infer_cpu.md,2024-02-02 08:45:00+01:00,docs/source/ko/perf_infer_cpu.md,True,2023-07-25 16:04:14+02:00,True
en,ko,docs/source/en/bertology.md,2024-09-09 10:47:24+02:00,docs/source/ko/bertology.md,True,2023-06-20 18:07:47-04:00,True
en,ko,docs/source/en/notebooks.md,2022-04-04 10:25:46-04:00,docs/source/ko/notebooks.md,False,,False
en,ko,docs/source/en/testing.md,2024-09-09 10:47:24+02:00,docs/source/ko/testing.md,True,2024-06-26 21:59:08+01:00,True
en,ko,docs/source/en/performance.md,2024-09-09 10:47:24+02:00,docs/source/ko/performance.md,True,2023-07-24 09:23:34-04:00,True
en,ko,docs/source/en/task_summary.md,2024-04-16 11:58:55+02:00,docs/source/ko/task_summary.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/hpo_train.md,2023-11-13 14:20:54+01:00,docs/source/ko/hpo_train.md,True,2023-11-13 14:20:54+01:00,False
en,ko,docs/source/en/modular_transformers.md,2024-09-24 15:54:07+02:00,docs/source/ko/modular_transformers.md,False,,False
en,ko,docs/source/en/perf_train_gpu_many.md,2024-06-18 11:00:26-07:00,docs/source/ko/perf_train_gpu_many.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/chat_templating.md,2024-09-17 16:08:05+01:00,docs/source/ko/chat_templating.md,True,2024-08-07 11:25:19-07:00,True
en,ko,docs/source/en/add_new_model.md,2024-09-27 17:15:13+02:00,docs/source/ko/add_new_model.md,True,2024-04-24 09:38:18+02:00,True
en,ko,docs/source/en/pipeline_webserver.md,2024-02-16 08:16:58+01:00,docs/source/ko/pipeline_webserver.md,True,2024-02-16 08:16:58+01:00,False
en,ko,docs/source/en/tokenizer_summary.md,2024-06-03 16:52:23-07:00,docs/source/ko/tokenizer_summary.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/deepspeed.md,2024-07-08 11:52:47+01:00,docs/source/ko/deepspeed.md,True,2024-08-12 10:07:31-07:00,False
en,ko,docs/source/en/index.md,2024-09-25 21:28:49+02:00,docs/source/ko/index.md,True,2024-02-06 12:01:01-08:00,True
en,ko,docs/source/en/llm_tutorial_optimization.md,2024-09-24 03:40:56-06:00,docs/source/ko/llm_tutorial_optimization.md,True,2024-08-08 09:37:39-07:00,True
en,ko,docs/source/en/contributing.md,2022-04-04 10:25:46-04:00,docs/source/ko/contributing.md,True,2024-04-24 09:38:18+02:00,False
en,ko,docs/source/en/pipeline_tutorial.md,2024-08-19 09:50:35-07:00,docs/source/ko/pipeline_tutorial.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/fsdp.md,2023-12-20 10:37:23-08:00,docs/source/ko/fsdp.md,True,2024-08-08 09:40:03-07:00,False
en,ko,docs/source/en/model_summary.md,2024-03-23 18:29:39-07:00,docs/source/ko/model_summary.md,True,2023-08-09 18:27:27+02:00,True
en,ko,docs/source/en/perf_hardware.md,2024-09-09 10:47:24+02:00,docs/source/ko/perf_hardware.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/gguf.md,2024-09-30 20:17:33+02:00,docs/source/ko/gguf.md,False,,False
en,ko,docs/source/en/attention.md,2024-02-08 14:13:35-08:00,docs/source/ko/attention.md,True,2024-02-08 14:13:35-08:00,False
en,ko,docs/source/en/fast_tokenizers.md,2023-06-20 18:07:47-04:00,docs/source/ko/fast_tokenizers.md,True,2023-06-20 18:07:47-04:00,False
en,ko,docs/source/en/big_models.md,2024-04-01 18:47:32-07:00,docs/source/ko/big_models.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/perf_train_cpu.md,2024-02-16 08:16:58+01:00,docs/source/ko/perf_train_cpu.md,True,2024-02-16 08:16:58+01:00,False
en,ko,docs/source/en/model_memory_anatomy.md,2024-09-24 03:40:56-06:00,docs/source/ko/model_memory_anatomy.md,True,2024-04-18 12:49:43-04:00,True
en,ko,docs/source/en/perplexity.md,2024-02-16 08:16:58+01:00,docs/source/ko/perplexity.md,True,2024-02-16 08:16:58+01:00,False
en,ko,docs/source/en/agents.md,2024-09-18 11:07:51+02:00,docs/source/ko/agents.md,False,,False
en,ko,docs/source/en/philosophy.md,2023-11-06 19:45:03+00:00,docs/source/ko/philosophy.md,True,2023-11-06 19:45:03+00:00,False
en,ko,docs/source/en/add_new_pipeline.md,2024-04-16 15:34:04+01:00,docs/source/ko/add_new_pipeline.md,True,2024-04-16 15:34:04+01:00,False
en,ko,docs/source/en/multilingual.md,2024-02-16 08:16:58+01:00,docs/source/ko/multilingual.md,True,2024-02-16 08:16:58+01:00,False
en,ko,docs/source/en/debugging.md,2024-09-09 10:47:24+02:00,docs/source/ko/debugging.md,True,2023-09-27 13:47:44-07:00,True
en,ko,docs/source/en/create_a_model.md,2024-06-06 22:02:38+01:00,docs/source/ko/create_a_model.md,True,2024-02-16 08:16:58+01:00,True
en,ko,docs/source/en/perf_train_gpu_one.md,2024-09-25 19:20:51+02:00,docs/source/ko/perf_train_gpu_one.md,False,,False
en,ko,docs/source/en/installation.md,2024-09-09 10:47:24+02:00,docs/source/ko/installation.md,True,2024-05-29 11:55:43+01:00,True
en,ko,docs/source/en/agents_advanced.md,2024-09-18 11:07:51+02:00,docs/source/ko/agents_advanced.md,False,,False
en,ko,docs/source/en/pr_checks.md,2024-09-09 10:47:24+02:00,docs/source/ko/pr_checks.md,True,2023-08-17 08:03:17+02:00,True
en,ko,docs/source/en/tflite.md,2024-02-16 08:16:58+01:00,docs/source/ko/tflite.md,True,2024-02-16 08:16:58+01:00,False
